City,Date,AQI,PM2.5,PM10,NO2,CO,SO2,O3
Ahmedabad,2015-07-16,105.0,65.37,141.54,8.07,0.64,16.31,8.02
Ahmedabad,2015-07-17,101.0,56.28,141.54,8.02,0.6,18.93,6.2
Ahmedabad,2015-07-18,93.0,48.17,141.54,8.0,0.65,18.99,7.97
Ahmedabad,2015-07-19,67.0,33.56,141.54,7.89,0.72,11.28,10.18
Ahmedabad,2015-07-20,60.0,31.3,141.54,8.1,0.55,10.29,7.44
Ahmedabad,2015-07-22,90.0,57.11,141.54,8.28,0.55,14.58,2.6
Ahmedabad,2015-07-23,78.0,34.72,141.54,9.73,0.1,13.62,4.87
Ahmedabad,2015-07-24,48.0,29.22,141.54,9.57,0.06,13.58,5.08
Ahmedabad,2015-07-25,53.0,29.79,141.54,8.64,0.14,15.11,5.34
Ahmedabad,2015-07-26,91.0,59.95,141.54,8.78,0.18,11.52,2.79
Ahmedabad,2015-07-27,70.0,19.2,141.54,9.45,1.52,11.23,4.61
Ahmedabad,2015-10-30,114.0,54.59,141.54,18.33,2.31,19.08,42.43
Ahmedabad,2015-10-31,143.0,46.5,141.54,12.1,1.22,13.73,61.56
Ahmedabad,2016-07-15,72.0,36.47,141.54,37.13,0.98,19.01,70.5646153846154
Ahmedabad,2016-07-20,557.0,31.71,141.54,22.75,1.67,15.47,41.626153846153855
Ahmedabad,2016-07-21,114.0,33.48,141.54,30.88,1.94,14.26,35.838461538461544
Ahmedabad,2016-07-23,99.0,30.47,141.54,38.78,1.64,15.8,24.26307692307693
Ahmedabad,2020-04-12,101.0,26.7,72.83,27.0,0.36,21.57,42.16
Ahmedabad,2020-04-14,89.0,31.16,72.09,25.9,0.37,21.85,43.35
Ahmedabad,2020-04-15,88.0,23.69,64.81,17.18,0.43,23.5,44.04
Ahmedabad,2020-04-16,95.0,38.65,81.47,26.76,0.36,22.03,54.24
Ahmedabad,2020-04-17,92.0,30.8,76.25,25.97,0.36,18.03,37.28
Ahmedabad,2020-04-19,99.0,21.27,65.12,13.93,0.36,21.0,40.56
Ahmedabad,2020-04-21,87.0,27.81,73.99,16.32,0.39,19.16,38.23
Ahmedabad,2020-04-22,101.0,32.11,94.34,17.95,0.45,15.83,42.22
Ahmedabad,2020-04-24,110.0,27.19,82.36,16.13,0.28,20.59,51.81
Ahmedabad,2020-04-25,98.0,28.25,70.48,13.88,0.38,16.51,41.74
Ahmedabad,2020-04-26,101.0,25.91,73.35,13.82,0.4,10.58,44.44
Ahmedabad,2020-05-03,121.0,23.82,62.1,16.38,0.64,22.71,54.35
Ahmedabad,2020-05-04,130.0,23.73,69.88,15.87,0.73,20.04,58.72
Ahmedabad,2020-05-05,143.0,33.47,134.83,29.05,0.54,2.42,54.8
Ahmedabad,2020-05-06,146.0,26.52,79.38,18.06,0.67,3.0507142857142853,59.96
Ahmedabad,2020-05-07,135.0,30.45,75.08,21.48,0.4,3.681428571428571,58.31
Ahmedabad,2020-05-08,127.0,26.79,66.34,14.99,0.51,4.312142857142857,57.81
Ahmedabad,2020-05-09,122.0,23.79,74.56,16.64,0.55,4.942857142857142,52.49
Ahmedabad,2020-05-10,125.0,26.17,62.14,14.73,0.77,5.5735714285714275,56.28
Ahmedabad,2020-05-11,125.0,21.31,66.1,15.01,0.54,6.204285714285714,57.55
Ahmedabad,2020-05-12,135.0,21.94,69.06,16.95,0.58,6.834999999999999,57.89
Ahmedabad,2020-05-13,117.0,23.19,67.28,17.46,0.48,7.465714285714284,52.31
Ahmedabad,2020-05-14,127.0,21.9,64.39,18.73,0.49,8.09642857142857,51.86
Ahmedabad,2020-05-15,125.0,19.15,78.8,19.59,0.51,8.727142857142855,61.79
Ahmedabad,2020-05-16,136.0,35.75,107.68,18.72,0.39,9.357857142857142,54.31
Ahmedabad,2020-05-17,137.0,27.28,63.5,18.56,0.68,9.988571428571426,55.52
Ahmedabad,2020-05-18,133.0,20.85,61.13,21.35,0.62,10.619285714285713,54.41
Ahmedabad,2020-05-19,133.0,23.98,56.9,26.56,0.61,11.249999999999998,59.05
Ahmedabad,2020-05-20,132.0,25.6,82.26,22.47,0.69,11.880714285714284,60.12
Ahmedabad,2020-05-21,130.0,33.35,84.99,25.02,0.56,12.511428571428569,62.4
Ahmedabad,2020-05-22,142.0,31.38,90.28,35.67,0.65,13.142142857142854,62.39
Ahmedabad,2020-05-23,135.0,29.26,82.26,22.23,0.67,13.77285714285714,55.64
Ahmedabad,2020-05-24,140.0,25.47,67.79,17.85,0.81,14.403571428571425,57.16
Ahmedabad,2020-05-25,126.0,24.84,70.95,16.03,0.57,15.03428571428571,57.53
Ahmedabad,2020-05-26,126.0,29.78,99.14,19.35,0.59,15.664999999999997,50.52
Ahmedabad,2020-05-27,123.0,31.25,89.65,21.42,0.83,16.295714285714283,54.58
Ahmedabad,2020-05-28,117.0,30.7,86.02,18.84,0.56,16.926428571428566,55.49
Ahmedabad,2020-05-29,126.0,23.91,81.0,18.6,0.57,17.557142857142853,44.9
Ahmedabad,2020-05-30,112.0,25.71,66.36,16.46,0.41,18.18785714285714,47.74
Ahmedabad,2020-05-31,104.0,22.83,67.92,15.35,0.4,18.818571428571424,53.06
Ahmedabad,2020-06-02,152.0,131.88,173.4,41.56,0.45,20.08,34.26
Ahmedabad,2020-06-04,101.0,26.08,84.25,37.3,0.79,21.29,56.78
Ahmedabad,2020-06-05,92.0,30.72,88.9,33.6,0.63,14.73,4.08
Ahmedabad,2020-06-06,95.0,33.19,65.77,39.76,0.71,14.4,40.28
Ahmedabad,2020-06-07,93.0,20.67,69.5,34.11,0.82,13.05,36.32
Ahmedabad,2020-06-08,97.0,22.92,70.97,28.47,0.57,11.6,30.16
Ahmedabad,2020-06-09,84.0,21.17,81.73,25.68,0.86,12.69,39.69
Ahmedabad,2020-06-10,101.0,23.62,94.06,20.92,0.85,16.22,44.32
Ahmedabad,2020-06-11,92.0,20.4,66.21,26.94,0.68,18.41,37.38
Ahmedabad,2020-06-12,105.0,21.4,93.89,22.4,0.85,16.27,45.05
Ahmedabad,2020-06-13,98.0,21.72,62.28,28.15,1.18,17.51,30.53
Ahmedabad,2020-06-14,96.0,24.1,87.14,27.53,0.86,20.82,35.29
Ahmedabad,2020-06-15,96.0,21.21,92.72,31.93,0.85,19.3,33.59
Ahmedabad,2020-06-16,80.0,31.49,94.09,24.73,0.85,11.26,38.44
Ahmedabad,2020-06-17,95.0,14.79,11.5,19.65,0.81,9.4,18.2
Ahmedabad,2020-06-19,108.0,17.65,135.16,33.84,0.71,9.9,40.03
Ahmedabad,2020-06-20,124.0,22.9,120.7,15.81,0.5,10.1,46.04
Ahmedabad,2020-06-21,106.0,24.28,138.12,12.44,0.7,11.45,57.31
Ahmedabad,2020-06-22,75.0,19.02,98.37,16.76,0.52,13.32,45.85
Ahmedabad,2020-06-23,85.0,22.2,88.99,15.67,0.51,13.0,64.75
Ahmedabad,2020-06-24,91.0,30.29,115.71000000000001,25.92,0.75,11.99,43.31
